AUTORIDADES APOIADAS;ORIGEM;"DECOLAGEM
(H. LOCAL)";DESTINO;"POUSO
(H. LOCAL)";MOTIVO;"PREVISÃO DE
PASSAGEIROS";
Comandante da Marinha;Brasília;05/01/2024 - 07:35;Rio de Janeiro (Galeão);05/01/2024 - 09:05;Serviço;14;
Comandante da Marinha;Rio de Janeiro (Galeão);05/01/2024 - 12:40;Brasília;05/01/2024 - 14:15;Serviço;14;
Ministro do Turismo;Juazeiro Do Norte;07/01/2024 - 10:00;Brasília;07/01/2024 - 12:00;Serviço;3;
Presidente do Supremo Tribunal Federal;Miami (EUA);07/01/2024 - 22:05;Boa Vista;08/01/2024 - 03:20;Serviço/Segurança;2;
Presidente do Supremo Tribunal Federal;Boa Vista;08/01/2024 - 04:10;Brasília;08/01/2024 - 08:50;Serviço/Segurança;2;
Presidente do Supremo Tribunal Federal;Brasília;08/01/2024 - 19:35;São Paulo (Guarulhos);08/01/2024 - 21:05;Serviço/Segurança;3;VOO COMPARTILHADO
Ministro da Fazenda;Brasília;08/01/2024 - 19:35;São Paulo (Guarulhos);08/01/2024 - 21:05;Serviço;12;VOO COMPARTILHADO
Ministro da Fazenda;São Paulo (Congonhas);08/01/2024 - 07:35;Brasília;08/01/2024 - 09:05;Serviço;13;
Ministra dos Povos Indígenas;Brasília;09/01/2024 - 19:40;Novo Progresso;09/01/2024 - 21:20;Serviço/Segurança;21;
Ministra dos Povos Indígenas;Novo Progresso;09/01/2024 - 22:05;Manaus (Ponta Pelada);09/01/2024 - 22:30;Serviço/Segurança;21;
Ministra dos Povos Indígenas;Manaus (Ponta Pelada);09/01/2024 - 23:15;Boa Vista;10/01/2024 - 00:20;Serviço/Segurança;21;
Ministra dos Povos Indígenas;Boa Vista;11/01/2024 - 00:10;Manaus (Ponta Pelada);11/01/2024 - 01:15;Serviço/Segurança;21;
Ministra dos Povos Indígenas;Manaus (Ponta Pelada);11/01/2024 - 01:50;Novo Progresso;11/01/2024 - 04:10;Serviço/Segurança;21;
Ministra dos Povos Indígenas;Novo Progresso;11/01/2024 - 04:35;Brasília;11/01/2024 - 06:15;Serviço/Segurança;21;
Ministro da Defesa;Brasília;12/01/2024 - 08:30;Rio de Janeiro (Santa Cruz);12/01/2024 - 10:00;Segurança;14;
Ministro da Defesa;Rio de Janeiro (Santa Cruz);12/01/2024 - 13:30;Brasília;12/01/2024 - 15:00;Segurança;14;
Ministro da Defesa;Brasília;12/01/2024 - 15:50;Macapá;12/01/2024 - 18:30;Segurança;12;
Ministro da Defesa;Macapá;12/01/2024 - 21:40;Recife;13/01/2024 - 00:40;Segurança;12;
Ministro dos Transportes;Brasília;12/01/2024 - 14:30;Aracaju;12/01/2024 - 16:30;Serviço;7;VOO COMPARTILHADO
Ministro da Secretaria-Geral da Presidência da República;Brasília;12/01/2024 - 14:30;Aracaju;12/01/2024 - 16:30;Serviço;7;VOO COMPARTILHADO
Ministro do Trabalho e Emprego;Brasília;11/01/2024 - 14:50;São Paulo (Congonhas);11/01/2024 - 16:25;Serviço;4;
Ministro do Trabalho e Emprego;São Paulo (Congonhas);12/01/2024 - 17:00;Brasília;12/01/2024 - 18:40;Serviço;2;
Ministro da Secretaria-Geral da Presidência da República;Aracaju;13/01/2024 - 19:15;Brasília;13/01/2024 - 21:05;Serviço;13;
Ministro do Esporte;Salvador;14/01/2024 - 01:10;São Luís;14/01/2024 - 03:05;Serviço;1;
Ministro da Fazenda;São Paulo (Congonhas);15/01/2024 - 07:00;Brasília;15/01/2024 - 08:25;Serviço;12;
Ministro das Comunicações;Bacabal;15/01/2024 - 12:50;Brasília;15/01/2024 - 14:50;Serviço;1;
Ministro do Turismo;Belém;16/01/2024 - 20:55;Brasília;16/01/2024 - 23:25;Serviço;4;
